Categoria,nome,precoMaximo,percentualDesconto,quantidadeDisponivel,precoComDesconto,pesoEmGramas,foraDeEstoque,quantidade
Frutas e Legumes,Pera Verde Importado,8200,15,3,6900,116,FALSE,2
Frutas e Legumes,Goiaba Tailandesa,7000,15,3,5900,116,FALSE,2
Frutas e Legumes,Alface Vermelho,2000,15,3,1700,100,FALSE,100
Frutas e Legumes,Manga Verde,6000,16,3,5000,500,FALSE,500
Frutas e Legumes,Biryani /Pulav Mistura,5800,15,3,4900,250,FALSE,250
Frutas e Legumes,Banana Nendran,5400,16,6,4500,500,FALSE,500
Frutas e Legumes,Abobora Cortado,3000,16,3,2500,200,FALSE,200
Frutas e Legumes,Banana Vermelho,5400,16,6,4500,500,FALSE,500
Frutas e Legumes,Rabanete Branco,2300,17,6,1900,500,FALSE,500
Frutas e Legumes,Abacate Indiana Premium,17700,15,3,14900,58,FALSE,1
Frutas e Legumes,Folha de Bananeira,1200,16,2,1000,58,FALSE,1
Frutas e Legumes,Abobrinha Esponja,2500,16,2,2100,300,FALSE,300
Frutas e Legumes,Zama Organicos Cenoura,2000,15,3,1700,250,FALSE,250
Frutas e Legumes,Safal Congelado - Misto Legumes,11000,4,2,10500,1000,FALSE,1
Frutas e Legumes,Zama Organicos Doce Batata,3700,16,3,3100,250,FALSE,250
Frutas e Legumes,Beterraba,1600,18,3,1300,500,FALSE,500
Frutas e Legumes,Pimentao,2600,19,3,2100,500,FALSE,500
Frutas e Legumes,Cenoura,1900,21,3,1500,500,FALSE,500
Frutas e Legumes,Alho,1700,23,3,1300,200,FALSE,200
Frutas e Legumes,Cenoura,1300,15,0,1100,250,TRUE,200
Frutas e Legumes,Beterraba,1100,18,0,900,250,TRUE,250
Frutas e Legumes,Feijao mungo Brotos,3500,17,0,2900,200,TRUE,200
Frutas e Legumes,Safal Congelado Misto Legumes,6000,5,0,5700,500,TRUE,500
Frutas e Legumes,Safal Congelado Milho,4100,4,0,3900,200,TRUE,200
Frutas e Legumes,Safal Congelado - Doce Milho,16000,5,0,15200,1000,TRUE,1
Essenciais de Cozinha,Maggi 2 Minuto Masala Macarrao instantaneo,1200,0,6,1200,70,FALSE,70
Essenciais de Cozinha,iD Idli & Dosa Batter ,8000,15,6,6800,1000,FALSE,1
Essenciais de Cozinha,Tata Sal,2400,0,6,2400,1000,FALSE,1
Essenciais de Cozinha,Arden Ovos Branco,9700,0,4,9700,696,FALSE,12
Essenciais de Cozinha,Arden Ovos Branco,6500,15,4,5500,348,FALSE,6
Essenciais de Cozinha,Fortune Sunlite Refinado Girassol (Pouch),23000,4,6,21900,1000,FALSE,1
Essenciais de Cozinha,Aashirvaad Superior MP Farinha de trigo integral,25000,2,6,24500,5000,FALSE,5
Essenciais de Cozinha,Amul Puro Ghee (Pouch),25500,2,6,24900,500,FALSE,500
Essenciais de Cozinha,Arden Ovos Marrom,8500,7,4,7900,348,FALSE,6
Essenciais de Cozinha,Tata Sal Light,4000,10,6,3600,1000,FALSE,1
Essenciais de Cozinha,Saffola Ouro Oleo (Pouch),21500,0,6,21500,1000,FALSE,1
Essenciais de Cozinha,Fortune Sunlite Refinado Girassol (Jar),92500,0,6,92500,5000,FALSE,5
Essenciais de Cozinha,Fortune Arroz Bran (Pouch),22500,11,6,19900,1000,FALSE,1
Essenciais de Cozinha,Saffola Ativo Oleo,21000,0,6,21000,1000,FALSE,1
Essenciais de Cozinha,Amul Puro Ghee (Pouch),50500,1,2,49900,1000,FALSE,1
Essenciais de Cozinha,Aashirvaad Farinha de trigo integral,46000,13,6,39900,10000,FALSE,10
Essenciais de Cozinha,Popular Essenciais Toor Lentilha (Un-Polished),16000,6,4,14900,1000,FALSE,1
Essenciais de Cozinha,Amul Ghee (Tin),52000,2,6,50900,1000,FALSE,1
Essenciais de Cozinha,Amul Fresco Creme,19700,3,3,19100,1000,FALSE,1
Essenciais de Cozinha,Popular Essenciais Puro Rapadura,5000,2,6,4900,450,FALSE,450
Essenciais de Cozinha,Aashirvaad Multigraos Farinha de trigo integral,6400,3,2,6200,1000,FALSE,1
Essenciais de Cozinha,Fortune Soyabean Oleo,100500,0,6,99900,5000,FALSE,5
Essenciais de Cozinha,Popular Essenciais Girassol Sementes,2500,0,6,2500,50,FALSE,50
Essenciais de Cozinha,Tata Sampann kabuli grao de bico,18500,1,4,18300,1000,FALSE,500
Essenciais de Cozinha,Dhara Amendoim Oleo (Pouch),23000,11,6,20300,1000,FALSE,1
Essenciais de Cozinha,Dhara Saude Refinado Sun Flower Oleo Pote,120000,18,6,98400,5000,FALSE,5
Essenciais de Cozinha,24 Mantra Organico Rapadura Em po,8000,15,6,6800,500,FALSE,500
Essenciais de Cozinha,Tata Sampann Alto Protien Kabuli Grao de bico,9400,0,1,9400,500,FALSE,500
Essenciais de Cozinha,Dhara Kachi Ghani Mostarda Oleo Pote,125000,8,6,114300,5000,FALSE,5
Essenciais de Cozinha,D'lecta Laticinio Creme,5400,5,6,5100,200,FALSE,200
Essenciais de Cozinha,Ching's Segredo Instantaneo Picante Alho Macarrao instantaneo,1500,0,3,1500,60,FALSE,60
Essenciais de Cozinha,Dabur Gengibre Alho Pasta,2500,8,3,2300,100,FALSE,100
Essenciais de Cozinha,Ching's Segredo Instantaneo Schezwan Macarrao instantaneo,1500,0,6,1500,60,FALSE,60
Essenciais de Cozinha,Gowardhan Ghee/Tuppa Pote,31500,1,6,30900,500,FALSE,500
Essenciais de Cozinha,Tata Sampann Unpolished Feijao mungo Lentilha ,9200,4,4,8800,500,FALSE,500
Essenciais de Cozinha,Aashirvaad Select Farinha de trigo integral,6400,0,6,6400,1000,FALSE,1
Essenciais de Cozinha,Popular Essenciais Misri Dana (Diamond Sugar) ,1500,0,4,1500,100,FALSE,100
Essenciais de Cozinha,Gowardhan Ghee Pote,59800,3,6,57900,1000,FALSE,1
Essenciais de Cozinha,Topo Ramen Macarrao instantaneo Curry Vegetariano Sache,2000,0,1,2000,70,FALSE,70
Essenciais de Cozinha,Popular Essenciais Refinado Acucar,6000,0,6,6000,1000,FALSE,1
Essenciais de Cozinha,Fortune Kachi Ghani Mostarda Oleo Garrafa,21600,7,6,19900,1000,FALSE,1
Essenciais de Cozinha,Saffola Vegetal Toque Masala Aveia,1500,0,6,1500,38,FALSE,38
Essenciais de Cozinha,Satyam Estourado Arroz Kurmura (R),2300,0,6,2300,200,FALSE,200
Essenciais de Cozinha,Quaker Aveia,7900,0,2,7900,400,FALSE,400
Essenciais de Cozinha,Aashirvaad Select Sharbati Farinha de trigo integral,31500,10,6,28300,5000,FALSE,5
Essenciais de Cozinha,Popular Essenciais Refinado Acucar,29500,10,6,26500,5000,FALSE,5
Essenciais de Cozinha,Gowardhan Vaca Ghee Sache,57900,10,6,52100,1000,FALSE,1
Essenciais de Cozinha,Dhara Nutrir Refinado Girassol Oleo Sache,21000,5,6,19900,1000,FALSE,1
Essenciais de Cozinha,Parachute Oleo ,4000,7,3,3700,100,FALSE,100
Essenciais de Cozinha,Popular Essenciais Simples Estourado Arroz (Murmura/Muri),1800,0,6,1800,100,FALSE,100
Essenciais de Cozinha,Amul Mithai Mate Condensed Adocado Leite,5600,3,4,5400,200,FALSE,200
Essenciais de Cozinha,Saffola Ouro (Jar),124000,0,6,124000,5000,FALSE,5
Essenciais de Cozinha,McCain Novo Mini Samosa com Queijo Pizza Estilo Recheio,12000,1,3,11800,240,FALSE,240
Essenciais de Cozinha,Fortune Arroz Bran Saude Oleo (Jar),105000,1,6,103900,5000,FALSE,5
Essenciais de Cozinha,Arden Desi Ovos,11000,13,4,9500,348,FALSE,6
Essenciais de Cozinha,Fortune Rozana Basmati Arroz,58500,21,6,46200,5000,FALSE,5
Essenciais de Cozinha,Fortune Biriyani Especial Basmati Arroz,17500,0,5,17500,1000,FALSE,1
Essenciais de Cozinha,Everest Garam Masala,7800,7,5,7200,100,FALSE,100
Essenciais de Cozinha,Popular Essenciais Abobora Sementes,9000,16,6,7500,100,FALSE,100
Essenciais de Cozinha,Fortune Soya Saude Refinado Soybean Oleo,21000,1,2,20600,1000,FALSE,1
Essenciais de Cozinha,Gowardhan Puro Ghee Sache,29500,4,6,28100,500,FALSE,500
Essenciais de Cozinha,Popular Essenciais Jeera/Cumin Sementes,4000,5,3,3800,100,FALSE,100
Essenciais de Cozinha,Weikfield Baking Soda,3000,3,6,2900,100,FALSE,100
Essenciais de Cozinha,Everest Pao Bhaji Masala,3700,10,4,3300,50,FALSE,50
Essenciais de Cozinha,Tata Sampann Unpolished Grao de bico Lentilha,9500,6,2,8900,1000,FALSE,500
Essenciais de Cozinha,Amul Mithai Mate EOE Tin,11200,2,6,10900,400,FALSE,400
Essenciais de Cozinha,Pillsbury Chakki Fresco Farinha de trigo integral,45000,16,6,37500,10000,FALSE,10
Essenciais de Cozinha,Everest Frango Masala,3900,2,1,3800,50,FALSE,50
Essenciais de Cozinha,Dhara Life Refinado Ricebran Oleo (Pouch),20500,7,6,19000,1000,FALSE,1
Essenciais de Cozinha,Borges Extra Extra virgem Oliva Oleo,40000,25,1,29900,250,FALSE,250
Essenciais de Cozinha,Everest Shahi Biryani Masala,7000,14,6,6000,50,FALSE,50
Essenciais de Cozinha,Popular Essenciais Californian Amendoa,35000,28,6,25100,250,FALSE,250
Essenciais de Cozinha,Popular Essenciais Ajwain Integral,2500,0,4,2500,50,FALSE,50
Essenciais de Cozinha,Everest Tikhalal Pimenta Em po,23500,9,6,21200,500,FALSE,500
Essenciais de Cozinha,Popular Essenciais Kabuli Grao de bico Regular,8500,9,6,7700,500,FALSE,500
Essenciais de Cozinha,Pillsbury Chakki Fresco Farinha de trigo integral,5200,0,4,5200,1000,FALSE,1
Essenciais de Cozinha,Popular Essenciais Saunf/Fennel Sementes,4500,2,6,4400,100,FALSE,100
Essenciais de Cozinha,Popular Essenciais Bansi Sooji,3500,2,3,3400,500,FALSE,500
Essenciais de Cozinha,Happilo Premium Internacional Queen Kalmi Tamaras,24500,29,6,17200,200,FALSE,200
Essenciais de Cozinha,Tata Sampann Unpolished Urad Integral,10100,6,4,9400,500,FALSE,500
Essenciais de Cozinha,Popular Essenciais Castanha de caju Partido,32500,12,6,28300,250,FALSE,250
Essenciais de Cozinha,Popular Essenciais Grao de bico Lentilha (Un-Polished),6000,10,6,5400,500,FALSE,500
Essenciais de Cozinha,Tata Sampann Unpolished Feijao vermelho (Chitra),13400,6,6,12500,500,FALSE,500
Essenciais de Cozinha,Everest Garam Masala,4200,2,2,4100,50,FALSE,50
Essenciais de Cozinha,Everest Cozinha King Masala,7000,14,2,6000,100,FALSE,100
Essenciais de Cozinha,24 Mantra Organico Cominho,7000,7,2,6500,100,FALSE,100
Essenciais de Cozinha,Nestle Milkmaid,13200,3,6,12800,400,FALSE,400
Essenciais de Cozinha,Popular Essenciais Sona Masouri Steam Arroz,6500,9,6,5900,1000,FALSE,1
Essenciais de Cozinha,24 Mantra Organico Tur Lentilha,26000,20,6,20800,1000,FALSE,1
Essenciais de Cozinha,Gits Gulab Jamun Instantaneo Dessert Mistura,9900,10,6,8900,200,FALSE,200
Essenciais de Cozinha,Popular Essenciais Preto Lentilha vermelha Integral (Un-Polished),6500,10,3,5800,500,FALSE,500
Essenciais de Cozinha,24 Mantra Organico Peanuts,13500,7,1,12500,500,FALSE,500
Essenciais de Cozinha,Everest Hingraj Em po,9000,10,2,8100,50,FALSE,50
Essenciais de Cozinha,Everest Preto Pimentao Em po,13500,14,6,11500,100,FALSE,100
Essenciais de Cozinha,Tata Sampann Lentilha vermelha Lentilha Stand,15000,10,4,13400,1000,FALSE,1
Essenciais de Cozinha,24 Mantra Organico Besan,9500,7,5,8800,500,FALSE,500
Essenciais de Cozinha,Quaker Aveia,19900,7,6,18400,1000,FALSE,1
Essenciais de Cozinha,Saffola Ouro Refinado Culinaria Oleo (Jar),48500,7,6,44900,2000,FALSE,2
Essenciais de Cozinha,Nestle Do dia a dia Laticinio Clareador,21000,0,4,21000,400,FALSE,400
Essenciais de Cozinha,24 Mantra Organico Vermelho Poha,7500,8,1,6900,500,FALSE,500
Essenciais de Cozinha,Everest Em po - Cha Masala,9800,9,5,8900,100,FALSE,100
Essenciais de Cozinha,Tata Sampann Urad Lentilha Partido,9400,4,6,9000,500,FALSE,500
Essenciais de Cozinha,Popular Essenciais Idli Sooji ,3000,6,6,2800,500,FALSE,500
Essenciais de Cozinha,Popular Essenciais Dessicated Coco,9500,9,6,8600,200,FALSE,200
Essenciais de Cozinha,Sunfeast Yippee! Mood Masala Macarrao instantaneo,6000,28,3,4300,260,FALSE,260
Essenciais de Cozinha,Chef's Cesta Durum Trigo Elbow Macarrao,16000,50,6,8000,500,FALSE,500
Essenciais de Cozinha,MTR Cafe da manha Azedo Doce Poha Mistura,2500,20,6,2000,60,FALSE,60
Essenciais de Cozinha,Satyam Khobra,11300,10,5,10100,200,FALSE,200
Essenciais de Cozinha,Betty Crocker Complete Panqueca Mistura Original,11000,4,6,10500,250,FALSE,500
Essenciais de Cozinha,Borges Durum Trigo Fusilli Macarrao ,25000,0,3,25000,500,FALSE,500
Essenciais de Cozinha,24 Mantra Organico Verde Feijao mungo Lentilha - Partido,13500,0,2,13500,500,FALSE,500
Essenciais de Cozinha,Weikfield Baunilha Com sabor Custard Em po,3700,0,6,3700,100,FALSE,100
Essenciais de Cozinha,Tata Sampann Feijao mungo Lentilha Partido,18000,1,5,17800,1000,FALSE,200
Essenciais de Cozinha,Tata Sampann Kala Grao de bico,6400,0,5,6400,500,FALSE,500
Essenciais de Cozinha,Saffola Soya Chunks Mealmaker,5000,0,2,5000,200,FALSE,200
Essenciais de Cozinha,24 Mantra Bura Acucar (Demerara),8000,10,6,7200,500,FALSE,500
Essenciais de Cozinha,Popular Essenciais Verde Cardamom (Elaichi),20000,1,6,19800,50,FALSE,50
Essenciais de Cozinha,Hershey's Xarope Delicioso Morango,9500,0,1,9500,200,FALSE,200
Essenciais de Cozinha,Popular Essenciais Anjeer,19000,11,4,16900,100,FALSE,100
Essenciais de Cozinha,Popular Essenciais Mostarda Sementes Rai Pequeno,2000,0,2,2000,100,FALSE,100
Essenciais de Cozinha,Weikfield Baking Em po,3300,3,6,3200,100,FALSE,100
Essenciais de Cozinha,Dabur Mel Squeezy,18500,9,6,16700,225,FALSE,225
Essenciais de Cozinha,Tata Sampann Alto Proteina Kali Urad,9100,14,6,7800,500,FALSE,500
Essenciais de Cozinha,Everest Cozinha King Masala,3700,2,6,3600,50,FALSE,50
Essenciais de Cozinha,Chef's Cesta Durum Trigo Fusilli Macarrao,16000,50,6,8000,500,FALSE,500
Essenciais de Cozinha,TilSona Gergelim Oleo,18000,10,2,16200,500,FALSE,500
Essenciais de Cozinha,Topo Ramen Frango Macarrao instantaneo,6000,10,1,5400,280,FALSE,280
Essenciais de Cozinha,Everest Chaat Masala,3500,2,1,3400,50,FALSE,50
Essenciais de Cozinha,Keya Wonder Vermelho Picante Pimenta Flocos,8900,10,2,8000,40,FALSE,40
Essenciais de Cozinha,Popular Essenciais Branco Ervilhas (Un-Polished),8000,10,5,7200,500,FALSE,500
Essenciais de Cozinha,Ching’s Segredo Chow mein Hakka Macarrao instantaneo Masala ,4400,0,2,4400,60,FALSE,60
Essenciais de Cozinha,Dhara Filtrado Amendoim Oleo (Jar),105000,1,6,103500,5000,FALSE,5
Essenciais de Cozinha,Pillsbury Choco Chip Panqueca Mistura,9900,5,6,9400,165,FALSE,165
Essenciais de Cozinha,Hershey's Caramel Xarope,23000,0,1,23000,623,FALSE,623
Essenciais de Cozinha,Pillsbury Multi Grao Farinha de trigo integral,6000,6,3,5600,1000,FALSE,1
Essenciais de Cozinha,McCain Novo Mini Samosa com Queijo Milho Estilo Recheio,12000,1,2,11800,240,FALSE,240
Essenciais de Cozinha,Satyam Estourado Arroz Kurmura (A),4300,0,6,4300,200,FALSE,200
Essenciais de Cozinha,MTR 3 Min Poha,2500,0,6,2500,60,FALSE,60
Essenciais de Cozinha,Ching's Manchurian Instantaneo Macarrao instantaneo,1500,0,5,1500,60,FALSE,60
Essenciais de Cozinha,Everest Pao Bhaji Masala,7000,0,2,7000,100,FALSE,100
Essenciais de Cozinha,Hershey's Chocolate Sabor Xarope,22000,6,6,20500,623,FALSE,680
Essenciais de Cozinha,Popular Essenciais Dhania (Coriander Seeds),5500,16,4,4600,200,FALSE,200
Essenciais de Cozinha,24 Mantra Vermelho Pimenta Integral,7000,7,1,6500,100,FALSE,100
Essenciais de Cozinha,Dabur Mel - World's No.1,12000,0,6,12000,250,FALSE,250
Essenciais de Cozinha,24 Mantra Organico Estourado Arroz,4000,2,6,3900,200,FALSE,200
Essenciais de Cozinha,24 Mantra Organico Trigo Daliya ,4800,2,2,4700,500,FALSE,500
Essenciais de Cozinha,24 Mantra Organico Ragi Farinha,6500,20,4,5200,500,FALSE,500
Essenciais de Cozinha,Popular Essenciais Cinnamon Integral (Dalchini),3500,5,6,3300,25,FALSE,25
Essenciais de Cozinha,Sundrop Super Light Avancado - Girassol Oleo,21500,0,4,21500,1000,FALSE,1
Essenciais de Cozinha,Pillsbury Atta/Godihittu - Chakki Fresco,10200,7,4,9400,2000,FALSE,2
Essenciais de Cozinha,Popular Essenciais Verde Feijao mungo Chilka/Chilka (Un-Polished),8500,7,5,7900,500,FALSE,500
Essenciais de Cozinha,Popular Essenciais HMT Kolam Steam,7500,0,3,7500,1000,FALSE,1
Essenciais de Cozinha,Popular Essenciais Preto Urad Partido,8000,10,4,7200,500,FALSE,500
Essenciais de Cozinha,Keya Oregano,10900,10,5,9800,9,FALSE,9
Essenciais de Cozinha,Popular Essenciais Rosa Feijao vermelho,10000,10,6,9000,500,FALSE,500
Essenciais de Cozinha,Everest Frango Masala,7400,2,6,7200,100,FALSE,100
Essenciais de Cozinha,Popular Essenciais HMT Kolam Steam,37000,10,6,33300,5000,FALSE,5
Essenciais de Cozinha,Everest Shahi Paneer Masala,4200,4,5,4000,50,FALSE,50
Essenciais de Cozinha,Godrej Yummiez Frango Nuggets,32500,9,1,29300,500,FALSE,500
Essenciais de Cozinha,Voador Bird Baunilha Essencia,3500,2,6,3400,20,FALSE,20
Essenciais de Cozinha,Everest Sabji Masala,3000,3,6,2900,50,FALSE,50
Essenciais de Cozinha,Popular Essenciais Californian Amendoa,69500,32,6,47000,500,FALSE,500
Essenciais de Cozinha,Cornitos Cornitos Taco Shells - 4 Inches,11000,20,6,8800,80,FALSE,80
Essenciais de Cozinha,Everest Feijao vermelho Masala,3300,3,5,3200,50,FALSE,50
Essenciais de Cozinha,Popular Essenciais Branco Gergelim,4000,5,1,3800,100,FALSE,100
Essenciais de Cozinha,Amul Meio amargo Compound Chocolate Slab,12500,2,6,12200,500,FALSE,500
Essenciais de Cozinha,Maes Receita Papad Grao de bico Masala,7900,10,6,7100,200,FALSE,200
Essenciais de Cozinha,Ching's Schezwan Masala Instantaneo Macarrao instantaneo,6000,0,1,6000,240,FALSE,240
Essenciais de Cozinha,Amul Leite Compound Chocolate Slab,11000,2,6,10700,500,FALSE,500
Essenciais de Cozinha,Eastern Frango Masala,7000,7,3,6500,100,FALSE,100
Essenciais de Cozinha,Popular Essenciais Feno-grego Sementes,2500,0,5,2500,100,FALSE,100
Essenciais de Cozinha,Saffola Saboroso Masala Macarrao instantaneo ,2000,0,2,2000,46,FALSE,46
Essenciais de Cozinha,Cadbury Picante Chocolate,17500,5,6,16600,200,FALSE,200
Essenciais de Cozinha,Ching's Frango Pimenta Masala,1000,0,6,1000,20,FALSE,20
Essenciais de Cozinha,Dabur Keora agua - Autentico sabor para Biryani's e Desserts,6200,6,6,5800,250,FALSE,250
Essenciais de Cozinha,Popular Essenciais Preto Cardamom/Elaichi ,10000,10,6,9000,50,FALSE,50
Essenciais de Cozinha,Popular Essenciais Idli Arroz,6000,10,4,5400,1000,FALSE,1
Essenciais de Cozinha,Everest Chole Masala,3300,3,1,3200,50,FALSE,50
Essenciais de Cozinha,Dabur Caseiro Tamarindo Pasta,4800,6,6,4500,200,FALSE,200
Essenciais de Cozinha,"Maggi Magico Cubes, Vegetariano Masala (Free 2 Cubos Inside)",3500,2,6,3400,48,FALSE,48
Essenciais de Cozinha,Popular Essenciais Culinaria Soda,3000,10,6,2700,200,FALSE,200
Essenciais de Cozinha,RRO Primio Refinado Amendoim Oleo Estimacao Garrafa,25500,6,2,23900,1000,FALSE,1
Essenciais de Cozinha,Everest Pani Puri Masala,3100,3,6,3000,50,FALSE,50
Essenciais de Cozinha,Nissin Copo Macarrao instantaneo Acidinho Tomate,5000,10,2,4500,70,FALSE,70
Essenciais de Cozinha,Ching's Vegetariano Manchurian Masala,1000,0,2,1000,20,FALSE,20
Essenciais de Cozinha,Ceres Alimentos Peixe Mostarda Instantaneo Liquido Masala,22000,50,6,11000,200,FALSE,200
Essenciais de Cozinha,Everest Garam Masala,15800,10,6,14200,200,FALSE,200
Essenciais de Cozinha,24 Mantra Organico Jowar Farinha,7000,7,6,6500,500,FALSE,500
Essenciais de Cozinha,Maggi Coco Milkpowder,10000,0,6,10000,100,FALSE,100
Essenciais de Cozinha,On1y Pimentao Moedor,15900,9,1,14400,50,FALSE,50
Essenciais de Cozinha,Popular Essenciais Arroz Farinha,6000,0,3,6000,1000,FALSE,1
Essenciais de Cozinha,Sunfeast Yippee! Macarrao Guloseima - Azedo Creme Cebola,2800,10,1,2500,65,FALSE,65
Essenciais de Cozinha,24 Mantra Organico Marrom Sona Masoori Arroz,9500,0,6,9500,1000,FALSE,1
Essenciais de Cozinha,Happilo Premium Afghani Anjeer,36500,29,2,25600,200,FALSE,200
Essenciais de Cozinha,Popular Essenciais Chiroti Sooji,3500,2,6,3400,500,FALSE,500
Essenciais de Cozinha,RRO Gergelim Dil Premium Gergelim Oleo Garrafa,33000,10,5,29400,1000,FALSE,1
Essenciais de Cozinha,Popular Essenciais Vermelho Feijao vermelho,9000,10,6,8100,500,FALSE,500
Essenciais de Cozinha,Cornitos Amendoim - Premium Salgado ,12000,10,6,10800,150,FALSE,150
Essenciais de Cozinha,Popular Essenciais Preto Pimentao,10000,10,5,9000,100,FALSE,100
Essenciais de Cozinha,24 Mantra Organico Tur Lentilha - Partido,13000,7,6,12000,500,FALSE,500
Essenciais de Cozinha,Sem acucar Ouro Baixo Caloria Adocante,6500,6,3,6100,110,FALSE,100
Essenciais de Cozinha,Ching's Segredo Paneer Pimenta Masala,1000,0,2,1000,20,FALSE,20
Essenciais de Cozinha,Dabur Mel ,22000,7,3,20400,500,FALSE,500
Essenciais de Cozinha,Sunfeast Yippee! Macarrao Guloseima - Azedo Creme Cebola,2800,17,3,2300,65,FALSE,65
